year          day          dechr          hour          min          sec          rh          esh          clong          clat          HGIlong          br          bt          bn          vp1r          vp1t          vp1n          crot          np1          vp1          Tp1          vaz          vel          Bx          By          Bz          sBx          sBy          sBz          nal          val          Tal          np2          vp2
   1976.0000      92.0000       0.0003       0.0000       0.0000       1.0000       0.4500      12.3200      42.2400      -5.7000     128.5052     -21.3900      11.3000      -4.1200       0.0000       0.0000      -0.0000    1639.0000       0.0000       0.0000       0.0000       0.0000       0.0000      21.3900     -11.3000      -4.1200       1.1100       2.6300       3.4300       0.0000       0.0000       0.0000       0.0000       0.0000
   1976.0000      92.0000       0.0058       0.0000       0.0000      21.0000       0.4500      12.2400      42.1500      -5.7000     128.4184     -21.2600       9.5000      -7.0900     334.5902      32.8069      -1.8777    1639.0000      32.3300     336.2000  173744.0000       5.6000       0.3200      21.2600      -9.5000      -7.0900       0.9900       3.2700       2.3000       0.0000       0.0000       0.0000      34.2100     327.2000
   1976.0000      92.0000       0.0172       0.0000       1.0000       2.0000       0.4500      12.2400      42.1500      -5.7000     128.4252     -21.9900       9.4000      -2.9700     337.6918      13.0909     -17.5335    1639.0000      29.7500     338.4000  212595.0000       2.2200       2.9700      21.9900      -9.4000      -2.9700       1.1600       3.4800       4.9000       0.0000       0.0000       0.0000      33.2000     327.9000
   1976.0000      92.0000       0.0283       0.0000       1.0000      42.0000       0.4500      12.2400      42.1400      -5.7000     128.4217     -16.4900      12.2600       1.2600     331.8505      19.0182      -8.3558    1639.0000      34.1800     332.5000  199345.0000       3.2800       1.4400      16.4900     -12.2600       1.2600       3.6800       4.6300      12.3500       0.0000       0.0000       0.0000      33.2000     330.4000
   1976.0000      92.0000       0.0397       0.0000       2.0000      23.0000       0.4500      12.2400      42.1400      -5.7000     128.4285     -14.6100      15.9100      10.4800     349.4239      42.0993      22.9755    1639.0000      32.3000     352.7000  114057.0000       6.8700       0.0000      14.6100     -15.9100      10.4800       2.1400       5.2100       4.4400       0.0000       0.0000       0.0000      34.2900     350.9000
   1976.0000      92.0000       0.0508       0.0000       3.0000       3.0000       0.4500      12.2400      42.1300      -5.7000     128.4250     -18.7500       9.8600      12.2200     345.4654      26.3395      54.3174    1639.0000      33.1100     350.7000  129756.0000       4.3600      -8.9100      18.7500      -9.8600      12.2200       2.7900       4.6700       3.0100       0.0000       0.0000       0.0000      35.0500     341.3000
   1976.0000      92.0000       0.0622       0.0000       3.0000      44.0000       0.4500      12.2400      42.1300      -5.7000     128.4318     -18.9300      10.4400      13.6900     346.5462      21.8636      56.4886    1639.0000      35.2400     351.8000  200420.0000       3.6100      -9.2400      18.9300     -10.4400      13.6900       1.8100       2.5400       3.1000       0.0000       0.0000       0.0000      28.3300     340.6000
   1976.0000      92.0000       0.0733       0.0000       4.0000      24.0000       0.4500      12.2500      42.1200      -5.7000     128.4283     -20.6300      10.1600       9.9200     341.6269      39.2255      47.9608    1639.0000      35.8400     347.2000  149718.0000       6.5500      -7.9400      20.6300     -10.1600       9.9200       2.1900       5.1900       4.6200       0.0000       0.0000       0.0000      35.3600     340.6000
   1976.0000      92.0000       0.0847       0.0000       5.0000       5.0000       0.4500      12.2500      42.1200      -5.7000     128.4351     -24.6000       5.9400       3.8700     346.1444      46.4315      42.3251    1639.0000      35.9900     351.8000  135766.0000       7.6400      -6.9100      24.6000      -5.9400       3.8700       1.2700       3.5600       4.2800       0.0000       0.0000       0.0000      35.7300     343.4000
   1976.0000      92.0000       0.0958       0.0000       5.0000      45.0000       0.4500      12.2500      42.1100      -5.7000     128.4316     -25.0400       4.5700      -5.1300     328.6872      27.3407      13.5353    1639.0000      33.5800     330.1000  234763.0000       0.0000       0.0000      25.0400      -4.5700      -5.1300       0.7300       2.0500       3.4700       0.0000       0.0000       0.0000      38.3100     324.9000
   1976.0000      92.0000       0.1072       0.0000       6.0000      26.0000       0.4500      12.2500      42.1100      -5.7000     128.4384     -24.0000       7.5100      -4.2700     334.6724      10.9268     -12.9222    1639.0000      33.3000     335.1000  196967.0000       1.8700       2.2100      24.0000      -7.5100      -4.2700       1.0900       2.8600       2.9100       0.0000       0.0000       0.0000      37.5000     330.5000
   1976.0000      92.0000       0.1183       0.0000       7.0000       6.0000       0.4500      12.2500      42.1000      -5.7000     128.4349     -20.0500       7.3900     -12.9700     327.3395      30.1935      -6.8285    1639.0000      32.6100     328.8000  152106.0000       5.2700       1.1900      20.0500      -7.3900     -12.9700       1.6300       3.1400       2.7200       0.0000       0.0000       0.0000      31.0800     325.8000
   1976.0000      92.0000       0.1239       0.0000       7.0000      26.0000       0.4500      12.3300      42.1800      -5.7000     128.5182     -19.8200       3.1600     -14.4600       0.0000       0.0000      -0.0000    1639.0000       0.0000       0.0000       0.0000       0.0000       0.0000      19.8200      -3.1600     -14.4600       1.7100       4.1800       2.4500       0.0000       0.0000       0.0000       0.0000       0.0000
   1976.0000      92.0000       0.1467       0.0000       8.0000      48.0000       0.4500      12.2500      42.0900      -5.7000     128.4417     -18.3600      -3.7700     -15.7300     342.9951      -4.0111     -39.6279    1639.0000      33.9900     345.3000  115489.0000      -0.6700       6.5900      18.3600       3.7700     -15.7300       2.7700       3.3800       3.6200       0.0000       0.0000       0.0000      27.4400     345.4000
   1976.0000      92.0000       0.1689       0.0000      10.0000       8.0000       0.4500      12.2500      42.0800      -5.7000     128.4448     -15.9300      -8.0700     -18.0500     351.9510     -17.5212     -50.5914    1639.0000      36.5000     356.0000   63848.0000      -2.8500       8.1700      15.9300       8.0700     -18.0500       1.1800       1.2200       1.2100       0.9100     357.3000  189931.0000      30.3100     357.8000
   1976.0000      92.0000       0.1917       0.0000      11.0000      30.0000       0.4500      12.2600      42.0700      -5.7000     128.4483     -16.6200      -7.4200     -14.9900     347.2869     -19.3556     -37.1105    1639.0000      34.7000     349.8000   96031.0000      -3.1900       6.0900      16.6200       7.4200     -14.9900       1.9100       3.6100       3.9500       1.2000     371.6000  299781.0000      29.8700     352.9000
   1976.0000      92.0000       0.2139       0.0000      12.0000      50.0000       0.4500      12.2600      42.0600      -5.7000     128.4514     -19.8600      15.7200      -4.3900     321.1608      54.2626     -22.6618    1639.0000      35.9000     326.5000   66502.0000       9.5900       0.0000      19.8600     -15.7200      -4.3900       1.9900       2.6400       2.8400       0.0000       0.0000       0.0000      30.3100     318.4000
   1976.0000      92.0000       0.2367       0.0000      14.0000      12.0000       0.4500      12.2600      42.0500      -5.7000     128.4549     -21.4700      11.5600      -6.4900     316.8194      40.7541     -10.4291    1639.0000      32.8900     319.6000   50621.0000       7.3300       1.8700      21.4700     -11.5600      -6.4900       0.5100       1.1100       1.1600       0.0000       0.0000       0.0000      27.5000     315.4000
   1976.0000      92.0000       0.2592       0.0000      15.0000      33.0000       0.4500      12.2600      42.0400      -5.7000     128.4582     -21.8500       8.8300      -7.0100     313.3614      32.6039      -9.6257    1639.0000      31.6200     315.2000   40989.0000       5.9400       1.7500      21.8500      -8.8300      -7.0100       0.4500       1.3900       1.3000       0.0000       0.0000       0.0000      26.8300     310.0000
   1976.0000      92.0000       0.2817       0.0000      16.0000      54.0000       0.4500      12.2600      42.0300      -5.7000     128.4615     -19.7000      13.0500      -7.0800       0.0000       0.0000      -0.0000    1639.0000       0.0000       0.0000       0.0000       0.0000       0.0000      19.7000     -13.0500      -7.0800       0.5300       0.8400       0.8400       0.0000       0.0000       0.0000      28.0000     314.2000
   1976.0000      92.0000       0.3039       0.0000      18.0000      14.0000       0.4500      12.2700      42.0200      -5.7000     128.4646     -22.4700       3.9200      -5.8000     314.5126       4.0623      -6.2042    1639.0000      29.5100     314.6000  106361.0000       0.7400       1.1300      22.4700      -3.9200      -5.8000       1.6800       4.4000       1.7400       0.0000       0.0000       0.0000      27.0100     307.2000
   1976.0000      92.0000       0.3378       0.0000      20.0000      16.0000       0.4500      12.2700      42.0000      -5.7000     128.4646     -23.3700       1.4900      -4.6100     320.5554       7.3304     -24.8407    1639.0000      28.0400     321.6000  166107.0000       1.3100       4.4300      23.3700      -1.4900      -4.6100       0.4800       0.9800       2.2900       0.0000       0.0000       0.0000      27.0500     308.7000
   1976.0000      92.0000       0.3433       0.0000      20.0000      36.0000       0.4500      12.2700      42.0000      -5.7000     128.4679     -23.0800       1.5000      -6.6300     312.6512       3.7108       4.0931    1639.0000      28.9500     312.7000   99231.0000       0.6800      -0.7500      23.0800      -1.5000      -6.6300       0.4000       1.0300       1.2200       0.0000       0.0000       0.0000      27.9100     306.3000
   1976.0000      92.0000       0.3547       0.0000      21.0000      17.0000       0.4500      12.2700      41.9900      -5.7000     128.4646     -23.0200       0.8300      -4.9100     311.2674       7.2811      -5.4347    1639.0000      27.1500     311.4000   63556.0000       1.3400       1.0000      23.0200      -0.8300      -4.9100       0.5300       1.6300       1.5700       0.0000       0.0000       0.0000      27.3600     306.7000
   1976.0000      92.0000       0.3658       0.0000      21.0000      57.0000       0.4500      12.2700      41.9900      -5.7000     128.4712     -22.0700       1.3300      -8.9100     312.7743      -1.3647      -3.7669    1639.0000      27.1700     312.8000  102843.0000      -0.2500       0.6900      22.0700      -1.3300      -8.9100       0.6400       1.8400       1.4700       0.0000       0.0000       0.0000      28.2600     307.9000
   1976.0000      92.0000       0.3772       0.0000      22.0000      38.0000       0.4500      12.2700      41.9800      -5.6900     128.4679     -22.0500      -0.1400      -8.5100     321.4262      -4.2077     -20.3931    1639.0000      28.5000     322.1000  116587.0000      -0.7500       3.6300      22.0500       0.1400      -8.5100       0.6300       1.0100       1.2400       0.0000       0.0000       0.0000      29.0600     314.4000
   1976.0000      92.0000       0.3883       0.0000      23.0000      18.0000       0.4500      12.2800      41.9800      -5.6900     128.4745     -21.8400       0.4300      -8.7000     314.8220       1.0440     -15.3974    1639.0000      26.9300     315.2000   70004.0000       0.1900       2.8000      21.8400      -0.4300      -8.7000       0.3600       0.7700       0.8400       0.0000       0.0000       0.0000      27.1700     308.5000
   1976.0000      92.0000       0.3997       0.0000      23.0000      59.0000       0.4500      12.2800      41.9700      -5.6900     128.4712     -21.6400       0.5000      -9.8700     321.0181       6.4441     -18.2324    1639.0000      29.1800     321.6000  140593.0000       1.1500       3.2500      21.6400      -0.5000      -9.8700       0.6500       0.6700       1.2300       0.0000       0.0000       0.0000      26.5400     309.6000
   1976.0000      92.0000       0.4108       0.0000      24.0000      39.0000       0.4500      12.2800      41.9700      -5.6900     128.4778     -22.5500      -0.1600      -8.9900     323.8448       3.4479     -20.3190    1639.0000      28.1400     324.5000  166717.0000       0.6100       3.5900      22.5500       0.1600      -8.9900       0.4500       1.0000       0.9200       0.0000       0.0000       0.0000      28.3100     310.0000
