,year,day,dechr,hour,min,sec,rh,esh,clong,clat,HGIlong,br,bt,bn,vp1r,vp1t,vp1n,crot,np1,vp1,Tp1,vaz,vel,Bx,By,Bz,sBx,sBy,sBz,nal,val,Tal,np2,vp2,delta T
0,1976,92,0.0003,0,0,1,0.45,12.32,42.24,-5.7,128.5052,-21.39,11.3,-4.12,0,0,0,1639,0,0,0,0,0,21.39,-11.3,-4.12,1.11,2.63,3.43,0,0,0,0,0,
1,1976,92,0.0058,0,0,21,0.45,12.24,42.15,-5.7,128.4184,-21.26,9.5,-7.09,334.5902,32.8069,-1.8777,1639,32.33,336.2,173744,5.6,0.32,21.26,-9.5,-7.09,0.99,3.27,2.3,0,0,0,34.21,327.2,0.0055
2,1976,92,0.0172,0,1,2,0.45,12.24,42.15,-5.7,128.4252,-21.99,9.4,-2.97,337.6918,13.0909,-17.5335,1639,29.75,338.4,212595,2.22,2.97,21.99,-9.4,-2.97,1.16,3.48,4.9,0,0,0,33.2,327.9,0.0114
3,1976,92,0.0283,0,1,42,0.45,12.24,42.14,-5.7,128.4217,-16.49,12.26,1.26,331.8505,19.0182,-8.3558,1639,34.18,332.5,199345,3.28,1.44,16.49,-12.26,1.26,3.68,4.63,12.35,0,0,0,33.2,330.4,0.0111
4,1976,92,0.0397,0,2,23,0.45,12.24,42.14,-5.7,128.4285,-14.61,15.91,10.48,349.4239,42.0993,22.9755,1639,32.3,352.7,114057,6.87,0,14.61,-15.91,10.48,2.14,5.21,4.44,0,0,0,34.29,350.9,0.0114
5,1976,92,0.0508,0,3,3,0.45,12.24,42.13,-5.7,128.425,-18.75,9.86,12.22,345.4654,26.3395,54.3174,1639,33.11,350.7,129756,4.36,-8.91,18.75,-9.86,12.22,2.79,4.67,3.01,0,0,0,35.05,341.3,0.0111
6,1976,92,0.0622,0,3,44,0.45,12.24,42.13,-5.7,128.4318,-18.93,10.44,13.69,346.5462,21.8636,56.4886,1639,35.24,351.8,200420,3.61,-9.24,18.93,-10.44,13.69,1.81,2.54,3.1,0,0,0,28.33,340.6,0.0114
7,1976,92,0.0733,0,4,24,0.45,12.25,42.12,-5.7,128.4283,-20.63,10.16,9.92,341.6269,39.2255,47.9608,1639,35.84,347.2,149718,6.55,-7.94,20.63,-10.16,9.92,2.19,5.19,4.62,0,0,0,35.36,340.6,0.0111
8,1976,92,0.0847,0,5,5,0.45,12.25,42.12,-5.7,128.4351,-24.6,5.94,3.87,346.1444,46.4315,42.3251,1639,35.99,351.8,135766,7.64,-6.91,24.6,-5.94,3.87,1.27,3.56,4.28,0,0,0,35.73,343.4,0.0114
9,1976,92,0.0958,0,5,45,0.45,12.25,42.11,-5.7,128.4316,-25.04,4.57,-5.13,328.6872,27.3407,13.5353,1639,33.58,330.1,234763,0,0,25.04,-4.57,-5.13,0.73,2.05,3.47,0,0,0,38.31,324.9,0.0111
10,1976,92,0.1072,0,6,26,0.45,12.25,42.11,-5.7,128.4384,-24,7.51,-4.27,334.6724,10.9268,-12.9222,1639,33.3,335.1,196967,1.87,2.21,24,-7.51,-4.27,1.09,2.86,2.91,0,0,0,37.5,330.5,0.0114
11,1976,92,0.1183,0,7,6,0.45,12.25,42.1,-5.7,128.4349,-20.05,7.39,-12.97,327.3395,30.1935,-6.8285,1639,32.61,328.8,152106,5.27,1.19,20.05,-7.39,-12.97,1.63,3.14,2.72,0,0,0,31.08,325.8,0.0111
12,1976,92,0.1239,0,7,26,0.45,12.33,42.18,-5.7,128.5182,-19.82,3.16,-14.46,0,0,0,1639,0,0,0,0,0,19.82,-3.16,-14.46,1.71,4.18,2.45,0,0,0,0,0,0.0056
