,helios_number,year,day,hour,minute,second,data_number,B_xse,B_yse,B_zse,B,dechr,delta T
0,2,76,92,0,0,6,4,22.04,-7.35,1.72,23.39,0.001666667,
1,2,76,92,0,0,12,8,20.71,-9.41,-4.45,23.28,0.003333333,0.001666667
2,2,76,92,0,0,18,8,19.47,-11.49,-5.22,23.24,0.005,0.001666667
3,2,76,92,0,0,24,8,19.73,-10.92,-5.13,23.42,0.006666667,0.001666667
4,2,76,92,0,0,30,8,20.72,-8.59,-4.02,23.2,0.008333333,0.001666667
5,2,76,92,0,0,36,8,20.72,-6.99,-6.89,22.99,0.01,0.001666667
6,2,76,92,0,0,42,8,20.97,-4.54,-8.01,22.95,0.011666667,0.001666667
7,2,76,92,0,0,48,8,20.38,-6.04,-8.31,22.84,0.013333333,0.001666667
8,2,76,92,0,0,54,8,20.21,-6.86,-7.13,22.8,0.015,0.001666667
9,2,76,92,0,1,0,8,20.12,-10.37,2.88,23.29,0.016666667,0.001666667
10,2,76,92,0,1,6,8,20.87,-9.74,4.06,23.5,0.018333333,0.001666667
11,2,76,92,0,1,12,8,22.12,-7.65,0.93,23.56,0.02,0.001666667
12,2,76,92,0,1,18,8,21.85,-7.28,-3.85,23.36,0.021666667,0.001666667
13,2,76,92,0,1,24,8,21.71,-7.25,-4.28,23.32,0.023333333,0.001666667
14,2,76,92,0,1,30,8,20.57,-5.46,-9.16,23.28,0.025,0.001666667
15,2,76,92,0,1,36,8,18.72,-7.21,-11.65,23.27,0.026666667,0.001666667
16,2,76,92,0,1,42,8,18.36,-11.23,-7.46,23.12,0.028333333,0.001666667
17,2,76,92,0,1,48,8,15.01,-9.16,-13.75,23.14,0.03,0.001666667
18,2,76,92,0,1,54,8,19.25,-11.17,0.4,22.64,0.031666667,0.001666667
19,2,76,92,0,2,0,8,11.77,-9.7,17.72,23.94,0.033333333,0.001666667
20,2,76,92,0,2,6,8,12.49,-11.61,16.14,23.65,0.035,0.001666667
21,2,76,92,0,2,12,8,14.86,-12.37,13.46,23.72,0.036666667,0.001666667
22,2,76,92,0,2,18,8,13.71,-15.16,12.01,23.82,0.038333333,0.001666667
23,2,76,92,0,2,24,8,10.73,-20.05,2.67,23.31,0.04,0.001666667
24,2,76,92,0,2,30,8,13.1,-14.71,11.94,23.46,0.041666667,0.001666667
25,2,76,92,0,2,36,8,12.7,-14.55,11.77,23.46,0.043333333,0.001666667
26,2,76,92,0,2,42,8,16.04,-8.57,15.02,23.67,0.045,0.001666667
27,2,76,92,0,2,48,8,15.89,-9.73,14.08,23.44,0.046666667,0.001666667
28,2,76,92,0,2,54,8,16.7,-7.59,15.03,23.89,0.048333333,0.001666667
29,2,76,92,0,3,0,8,17.51,-9.1,13.27,23.95,0.05,0.001666667
30,2,76,92,0,3,6,8,18.15,-8.79,12.49,23.92,0.051666667,0.001666667
31,2,76,92,0,3,12,8,16.49,-10.42,14.03,24.16,0.053333333,0.001666667
32,2,76,92,0,3,18,8,14.85,-11.37,15.04,24.13,0.055,0.001666667
33,2,76,92,0,3,24,8,15.9,-12.21,13.44,24.26,0.056666667,0.001666667
34,2,76,92,0,3,30,8,20.65,-1.27,11.5,24.38,0.058333333,0.001666667
35,2,76,92,0,3,36,8,21.37,-2.92,11.06,24.56,0.06,0.001666667
36,2,76,92,0,3,42,8,17.06,-7.7,16.18,24.92,0.061666667,0.001666667
37,2,76,92,0,3,48,8,16.62,-8.95,16.18,24.95,0.063333333,0.001666667
38,2,76,92,0,3,54,8,17.96,-5.74,16.45,25.27,0.065,0.001666667
39,2,76,92,0,4,0,8,17.23,-5.81,17.72,25.55,0.066666667,0.001666667
40,2,76,92,0,4,6,8,18.74,-7.45,15.41,25.47,0.068333333,0.001666667
41,2,76,92,0,4,12,8,19.55,-10.13,11.15,24.76,0.07,0.001666667
42,2,76,92,0,4,18,8,19.9,-9.82,10.24,24.5,0.071666667,0.001666667
43,2,76,92,0,4,24,8,18.37,-11.31,11.55,24.52,0.073333333,0.001666667
44,2,76,92,0,4,30,8,19.45,-8.05,12.01,24.73,0.075,0.001666667
45,2,76,92,0,4,36,8,19.94,-0.4,14.29,25.43,0.076666667,0.001666667
46,2,76,92,0,4,42,8,20.48,-8.8,10.17,24.94,0.078333333,0.001666667
