연도,10대,20대,30대,40대,50대,60세이상
1997,379,1243,1431,1075,816,1181
1998,476,1531,1922,1735,1296,1738
1999,380,1135,1556,1414,1010,1639
2000,274,942,1352,1328,981,1645
2001,233,931,1371,1371,1062,2000
2002,234,1030,1652,1758,1273,2717
2003,301,1233,1951,2257,1607,3624
2004,254,1106,1844,2422,1827,4115
2005,288,1377,1935,2362,1762,4372
2006,236,1057,1494,2104,1817,4028
2007,313,1575,1957,2249,1783,4372
2008,318,1643,2119,2444,1970,4364
2009,450,1806,2642,2856,2597,5051
2010,353,1688,2462,2969,2695,5391
2011,373,1640,2511,2961,2953,5468
2012,337,1295,2224,2690,2659,4954
2013,308,1184,2275,2867,2963,4829
2014,276,1174,2193,2854,2914,4423
2015,245,1087,1926,2624,2795,4833
2016,273,1097,1857,2579,2677,4609
2017,255,1106,1812,2408,2568,4312
2018,301,1192,1998,2676,2812,4691
2019,300,1306,1914,2588,2837,4848
