연도,20대,30대,40대,50대,60세이상
2000,364,232,190,97,30
2001,353,205,170,85,25
2002,318,187,119,61,24
2003,363,191,135,70,22
2004,371,198,148,77,26
2005,355,213,164,90,31
2006,348,195,152,82,35
2007,311,203,136,85,35
2008,297,197,144,86,31
2009,323,223,166,114,44
2010,311,218,168,120,79
2011,295,205,147,112,76
2012,290,181,141,117,76
2013,298,178,136,108,61
2014,352,186,158,136,81
2015,360,182,163,147,95
2016,399,184,149,145,105
2017,402,190,148,140,120
2018,387,195,168,164,139
2019,367,190,153,169,167
2020,355,195,164,191,188
