,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
서울,250,238,218,232,242,251,240,216,208,236,250,245,226,210,240,226,226,244,254,233,241
부산,125,99,70,69,75,75,72,68,64,72,60,61,67,67,67,71,69,81,71,65,72
대구,56,57,51,53,52,52,45,42,43,52,49,45,41,41,49,45,54,52,56,47,48
인천,63,56,49,53,56,57,56,53,53,62,71,69,68,63,72,79,78,75,70,72,74
광주,39,31,24,29,27,28,27,27,26,26,25,22,19,21,21,22,23,22,30,29,30
대전,29,29,26,25,28,30,31,29,26,26,26,27,28,23,27,27,26,27,34,34,36
울산,20,16,12,16,18,17,14,13,18,22,19,15,15,12,16,17,23,21,28,25,25
세종,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,4,5,5
경기,165,156,129,160,180,198,186,179,177,213,230,202,199,183,216,261,264,269,268,274,285
강원,18,16,13,14,15,12,9,13,12,15,18,16,18,17,23,25,22,21,24,30,33
충북,25,24,18,22,19,16,16,16,16,16,17,19,16,16,25,22,23,20,22,28,29
충남,26,27,25,27,23,27,25,25,26,32,31,26,26,32,40,43,40,33,38,35,42
전북,27,28,22,24,24,21,22,20,19,17,19,21,18,18,23,16,20,24,26,26,24
전남,33,31,23,23,24,22,16,17,19,15,20,19,15,21,28,25,30,31,28,26,24
경북,48,38,31,31,37,34,33,29,29,38,39,36,36,45,43,45,47,41,61,58,60
경남,49,47,36,38,37,40,36,38,35,49,45,36,31,35,43,46,59,52,54,69,72
제주,7,7,6,5,7,7,6,6,5,5,5,5,5,6,7,7,8,7,7,8,10
